"a:FastFast","v","ter","a2","vratio","a2_slope_upper","a2_slope_lower","ter2","starting_point_confidence","a:AccFast","a:AccAcc","a:FastAcc","a_slope","ntrials","s","dt","subject_id","fit_condition","file_id","cost","model","n_free_params","n_bins","n_obs","bic","aic"
1.05017504113503,0.466285138699147,0.36727590437183,10.1215448889338,0.313637047626285,2.76171612849325,0.225367284084683,-1.20796694636376,0.540721303683284,1.6086172804141,2.19947587102221,1.78384225199832,0,5000,1,0.001,"28","All","FCB_cj6_FIT_sub-28_20260629_231207.rds",1242.92778851286,"FCB_cj6",12,128,719,1321.86212480551,1266.92778851286
1.52543881546484,0.301437771571911,0.183982789076554,3.92885402607254,0.439757289267563,3.03075064297984,0.00660528311147596,-0.0712253356951918,0.730600637896786,1.63505095419178,2.05425831613048,1.73147429229918,0,5000,1,0.001,"29","All","FCB_cj6_FIT_sub-29_20260629_223010.rds",487.236869009465,"FCB_cj6",12,144,695,565.763811156242,511.236869009465
1.68595160493769,0.68617597458253,0.368266188276341,6.87457528292268,0.218347533643451,2.18495761601896,0.330926603276549,-0.382290048169834,0.711024282012152,1.63732865495293,1.8419109855866,1.48951583975202,0,5000,1,0.001,"3","All","FCB_cj6_FIT_sub-3_20260629_224506.rds",737.002142279568,"FCB_cj6",12,128,719,815.93647857222,761.002142279568
1.52141064947791,0.735769395703425,0.476426453507933,5.78820703932743,0.33460383174222,1.62320735175971,0.706733830920243,-0.347406881336828,0.599530041205422,2.47090326555617,2.51984109254485,1.32353853768541,0,5000,1,0.001,"30","All","FCB_cj6_FIT_sub-30_20260629_230720.rds",819.609853069832,"FCB_cj6",12,124,719,898.544189362485,843.609853069832
1.65970586083476,0.364815403739568,0.39551703141622,10.0295127708033,0.501761944056947,2.65350390406201,0.123850259368146,-0.655605125379136,0.620272676237255,1.85414726751427,2.40264810581216,1.80300062603513,0,5000,1,0.001,"31","All","FCB_cj6_FIT_sub-31_20260629_232105.rds",446.235997733534,"FCB_cj6",12,132,719,525.170334026186,470.235997733534
1.46931254499287,1.019096468899,0.424299185629442,4.08284609163441,0.445099640625281,0.976826969599759,0.996769410875264,-0.529591413607974,0.483353949502595,1.93754210046182,2.27793394646498,1.44229003583668,0,5000,1,0.001,"32","All","FCB_cj6_FIT_sub-32_20260629_231602.rds",728.822990857258,"FCB_cj6",12,116,720,807.77400540138,752.822990857258
1.49507008809333,0.594698535297785,0.515663188048594,5.54081042745866,0.374426933437983,2.27816021498992,0.000688673503746906,-0.263666218395176,0.558582570781544,1.64472346956234,2.1395616879265,1.93715111460651,0,5000,1,0.001,"33","All","FCB_cj6_FIT_sub-33_20260629_232506.rds",303.699625182426,"FCB_cj6",12,128,719,382.633961475078,327.699625182426
1.46859946115666,0.799871134062901,0.330730801429778,5.36621256410796,0.27778915445842,1.58496523978581,0.0218540883253194,-0.484361005427944,0.595471475602465,1.8799251931464,2.13388207313485,0.97403499850157,0,5000,1,0.001,"34","All","FCB_cj6_FIT_sub-34_20260629_232643.rds",1162.97127864678,"FCB_cj6",12,128,719,1241.90561493944,1186.97127864678
1.33212197588187,0.967070067839069,0.418306891201278,4.28959069052412,0.383040117183149,1.69963131839114,0.722079286846599,-0.0151104090312493,0.703212329638668,1.96039215686266,2.27788627476021,1.32240304430593,0,5000,1,0.001,"35","All","FCB_cj6_FIT_sub-35_20260629_225657.rds",763.751674943758,"FCB_cj6",12,116,719,842.686011236411,787.751674943758
1.62607432145252,0.402464875779297,0.510050920945001,7.17395433124332,0.260652933179643,0.113857040360958,2.27852965579939,-1.19613238206213,0.723635679633205,1.75642184592887,2.13687791478598,1.62842229393221,0,5000,1,0.001,"36","All","FCB_cj6_FIT_sub-36_20260629_233439.rds",490.966597000882,"FCB_cj6",12,136,719,569.900933293535,514.966597000882
1.38742822198683,0.598148240275798,0.449475352930987,3.68043888304322,0.566032136106567,1.39656083802763,0.646323188250242,-0.0685301587346024,0.751664840695305,1.86940012070157,2.04120308629194,1.17742793676554,0,5000,1,0.001,"37","All","FCB_cj6_FIT_sub-37_20260629_225118.rds",888.594559795361,"FCB_cj6",12,128,719,967.528896088014,912.594559795361
1.69384843248483,0.399766577188951,0.435052903426047,4.24872901219096,0.616908873827654,2.54253411335576,0.100050381645078,0.0363933848887511,0.644735709128612,2.15689946322359,2.36407286702565,1.8939833339612,0,5000,1,0.001,"38","All","FCB_cj6_FIT_sub-38_20260629_231053.rds",223.929134840632,"FCB_cj6",12,132,719,302.863471133285,247.929134840632
0.696856924201614,0.382391774430958,0.185965979769717,7.70377423658988,0.414962041785701,2.10838702108712,0.0710150245016948,-0.767503077896071,0.635460567000921,2.25965393813425,2.41463260474587,0.612458165878802,0,5000,1,0.001,"39","All","FCB_cj6_FIT_sub-39_20260629_232456.rds",1393.33716296454,"FCB_cj6",12,136,650,1471.06083131921,1417.33716296454
1.55448343474187,0.261644739263389,0.386936555124556,5.43082223512023,0.488782686702172,1.49582688238648,0.0223470706971376,-0.376148494148573,0.631258153604082,2.40272881212696,2.76587694427018,1.70593771091883,0,5000,1,0.001,"4","All","FCB_cj6_FIT_sub-4_20260629_232442.rds",577.495444049566,"FCB_cj6",12,144,716,656.379606053094,601.495444049566
1.31075296540382,0.472651917079935,0.363928062377617,8.42219413338736,0.257740456851709,2.55435376781229,1.39032088249578,-0.342702689879319,0.715758322520276,1.95057039033849,2.28719879106947,1.57875111724617,0,5000,1,0.001,"40","All","FCB_cj6_FIT_sub-40_20260629_231109.rds",502.872191647387,"FCB_cj6",12,128,719,581.80652794004,526.872191647387
1.34291111922701,0.53357825614549,0.34080217710744,4.45671261333022,0.224799480564297,1.60872125600436,0.00218403411985611,-0.395331514419975,0.598081423246874,2.03570530877807,2.66775835168405,1.45319601023305,0,5000,1,0.001,"5","All","FCB_cj6_FIT_sub-5_20260629_230336.rds",788.464942599272,"FCB_cj6",12,128,714,867.315538147347,812.464942599272
1.38385474059445,0.129298121980278,0.439081626086138,6.25021533643888,0.67288703969399,5.84189478368121,0.398319798314595,-0.294250385431215,0.544327780125868,1.52799918454926,1.89154297188975,1.45794181593354,0,5000,1,0.001,"6","All","FCB_cj6_FIT_sub-6_20260629_222737.rds",388.67515313754,"FCB_cj6",12,144,719,467.609489430192,412.67515313754
1.68541339548128,0.672364166300386,0.396019570243833,4.02491764778326,0.311206458596716,1.10673682059666,0.450651904071619,0.00183313041555404,0.755687864473004,2.11259745757958,1.95794635494365,1.7011091666645,0,5000,1,0.001,"7","All","FCB_cj6_FIT_sub-7_20260629_224451.rds",319.973662772862,"FCB_cj6",12,128,718,398.89129760144,343.973662772862
