"a","v","ter","a2","vratio","a2_slope_upper","a2_slope_lower","ter2","starting_point_confidence","a_slope","ntrials","s","dt","subject_id","fit_condition","file_id","cost","model","n_free_params","n_bins","n_obs","bic","aic"
1.75537427874151,0.951729796238594,0.392678789462242,4.66018684668022,0.4130575264041,1.92544521467965,0.713306267857225,-0.0112693954070066,0.700726574663631,0,5000,1,0.001,"35","All","FCB_cj6_FIT_sub-35_20260629_175046.rds",183.913788933975,"FCB_cj6",9,44,719,243.114541153465,201.913788933975
1.72714556109539,0.455202869951029,0.552700735619906,6.72225192140902,0.316371451238185,0.111028942784795,2.17257101122909,-1.16241562817377,0.704516732788808,0,5000,1,0.001,"36","All","FCB_cj6_FIT_sub-36_20260629_175858.rds",250.169548495018,"FCB_cj6",9,52,719,309.370300714508,268.169548495018
1.75906388571013,0.59039403613226,0.401808016027099,3.53598204363944,0.35158275572422,1.65076830575343,0.67398472417108,0.0161023381106057,0.778472974519796,0,5000,1,0.001,"37","All","FCB_cj6_FIT_sub-37_20260629_174949.rds",440.999300913744,"FCB_cj6",9,44,719,500.200053133233,458.999300913744
2.02236562608485,0.401209217292922,0.406754771133415,4.11590512457905,0.548301858727076,2.69467863616391,0.00362219426604092,0.0798622886599394,0.646356621164472,0,5000,1,0.001,"38","All","FCB_cj6_FIT_sub-38_20260629_175323.rds",116.578234217911,"FCB_cj6",9,52,719,175.7789864374,134.578234217911
1.85027848961499,0.249093441525619,0.0105737719743387,7.18836288646982,0.64054538910932,1.99889461674873,0.999575122895171,-0.710579287159181,0.630968643065053,0,5000,1,0.001,"39","All","FCB_cj6_FIT_sub-39_20260629_175631.rds",552.950172037924,"FCB_cj6",9,52,650,611.242923303931,570.950172037924
2.20593563671936,0.232071996410049,0.323711410255351,5.13733556520251,0.587883663668683,1.44240279299389,0.00274082598791626,-0.413770574234441,0.608343800025026,0,5000,1,0.001,"4","All","FCB_cj6_FIT_sub-4_20260629_175704.rds",190.365623667516,"FCB_cj6",9,52,716,249.528745170162,208.365623667516
1.72390256406454,0.501806303318229,0.371170871837351,6.99850394845079,0.245106683201405,2.36060357825435,1.28312681443394,-0.218781835845048,0.711045518553134,0,5000,1,0.001,"40","All","FCB_cj6_FIT_sub-40_20260629_175323.rds",183.140264230884,"FCB_cj6",9,52,719,242.341016450373,201.140264230884
2.02133853279686,0.565003142589406,0.25096458485374,4.18846973112897,0.250849742007005,1.90670444024437,0.0390037075714709,-0.251448156963598,0.609733145407726,0,5000,1,0.001,"5","All","FCB_cj6_FIT_sub-5_20260629_175107.rds",303.897573410416,"FCB_cj6",9,44,714,363.035520071472,321.897573410416
1.44940188976981,0.0708514271606734,0.509560009896154,6.99387976339402,0.803343161815,5.95757772419397,0.866091920680772,-0.350292414875693,0.546928393927893,0,5000,1,0.001,"6","All","FCB_cj6_FIT_sub-6_20260629_174455.rds",179.440327633704,"FCB_cj6",9,52,719,238.641079853193,197.440327633704
1.8624434288016,0.632949792730498,0.398933146068093,4.11306830962058,0.317439861446588,1.28520132112352,0.55696904604505,0.0341656256451215,0.762842311954505,0,5000,1,0.001,"7","All","FCB_cj6_FIT_sub-7_20260629_175025.rds",161.807213072745,"FCB_cj6",9,44,718,220.995439194179,179.807213072745
1.7876869452008,0.621157309885459,0.376340927764788,3.27928762737687,0.297874810856199,0.931006507619576,0.7970605762312,-0.113522730564314,0.379936633277374,0,5000,1,0.001,"8","All","FCB_cj6_FIT_sub-8_20260629_174939.rds",278.094086366755,"FCB_cj6",9,44,717,337.269768932152,296.094086366755
2.38843197987024,0.307470965076441,0.358757431837725,4.20057257440234,0.443326979148593,3.41276114026807,0.000508148721737378,-0.357559742751226,0.4837556987813,0,5000,1,0.001,"9","All","FCB_cj6_FIT_sub-9_20260629_175536.rds",466.831076834396,"FCB_cj6",9,52,705,525.854857059706,484.831076834396
